date,item_sales,sales_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12
2012-02-01,9225.310344827587,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623,706.0677419354843,-207.00107526881766,92.74301075268886,-308.6739631336404,-1043.3690476190486
2012-03-01,9631.935483870968,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623,706.0677419354843,-207.00107526881766,92.74301075268886,-308.6739631336404
2012-04-01,9870.766666666666,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623,706.0677419354843,-207.00107526881766,92.74301075268886
2012-05-01,9959.129032258064,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623,706.0677419354843,-207.00107526881766
2012-06-01,10892.666666666666,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623,706.0677419354843
2012-07-01,10127.290322580646,-765.3763440860203,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526,407.09354838709623
2012-08-01,10624.161290322581,496.8709677419356,-765.3763440860203,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636,403.9032258064526
2012-09-01,10614.833333333334,-9.327956989247468,496.8709677419356,-765.3763440860203,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176,-127.06344086021636
2012-10-01,9851.032258064517,-763.8010752688169,-9.327956989247468,496.8709677419356,-765.3763440860203,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746,375.51505376344176
2012-11-01,9264.4,-586.6322580645174,-763.8010752688169,-9.327956989247468,496.8709677419356,-765.3763440860203,933.5376344086017,88.36236559139797,238.83118279569862,406.62513904338084,663.5038932146836,50.419354838710206,210.3870967741932,-613.5483870967746
